query_id,query_text,doc_id,product_title,review_headline,relevance
q03,best green tea for energy and focus,R1R24VUR2KCSEL,Teas' Tea,Recommended if you like unsweetened green tea,0
q03,best green tea for energy and focus,R1QYH4QCJUTC7S,"Japanese Kit Kat Matcha Green Tea Flavor | Sweetness for Adults, mini 12 pcs (Japan Import)",Yum for green tea lovers,2
q03,best green tea for energy and focus,R61VL1WQT8UTV,"Celestial Seasonings Rooibos Tea, 20 Count (Pack of 6)",Try this tea!,0
q03,best green tea for energy and focus,R239AV6JATSS46,Tiesta Tea Caffeine Free,This is my favorite green tea.,0
q03,best green tea for energy and focus,R1Y6K50SH83BHQ,"Bigelow Green Tea, 40-Count Boxes (Pack of 6)",Go Green (Tea that is),1
q04,organic coconut oil for skin and hair care,R158INSK6348X7,"Nutiva Organic Virgin Coconut Oil, 15 Ounce",Awesome Organic Coconut Oil,2
q04,organic coconut oil for skin and hair care,R3F7NQ92WYOX9K,"Viva Naturals Organic Extra Virgin Coconut Oil, 16 Ounce",Truly a multi purpose oil!,2
q04,organic coconut oil for skin and hair care,R2TKYWDIZ7R8LH,"Viva Naturals Organic Extra Virgin Coconut Oil, 16 Ounce",Love it! Love it! Love it!,2
q04,organic coconut oil for skin and hair care,RYIVKAOCGMCHL,"Viva Naturals Organic Extra Virgin Coconut Oil, 16 Ounce",Quality Coconut Oil,2
q04,organic coconut oil for skin and hair care,R1HW0W7V1S089U,"Viva Naturals Organic Extra Virgin Coconut Oil, 32 Ounce",Great coconut oil!,2
q04,organic coconut oil for skin and hair care,R3OIX5XBSGLLPV,"Carrington Farms Unrefined Coconut Oil, 4 Ounce",A Delicious and Superior Organic Coconut Oil in Efficient and Convenient Packaging,2
q04,organic coconut oil for skin and hair care,RTFB6LQK7KRWM,"Viva Naturals Organic Extra Virgin Coconut Oil, 32 Ounce",ABSOLUTELY THE BEST!,2
q04,organic coconut oil for skin and hair care,R3GB21KSAI7P8D,"Viva Naturals Organic Extra Virgin Coconut Oil, 16 Ounce",Great Coconut Oil,2
q04,organic coconut oil for skin and hair care,R2NOI29IZZYT8K,Carrington Farms Organic Extra Virgin Coconut Oil,"Good buy, good product, good for your health",2
q04,organic coconut oil for skin and hair care,R26NZMI29Q9GH6,Carrington Farms Organic Extra Virgin Coconut Oil,My top hair care product! Love it!,2
q05,stale popcorn and poor quality food complaints,R111TGZBJP8MOB,"Great Northern Popcorn Original Popcorn, 12.5 Pound",Too Many Hard Hulls!,0
q05,stale popcorn and poor quality food complaints,R8X5JB2P5LWZA,"Great Northern Popcorn Original Popcorn, 12.5 Pound",Yummy!,0
q05,stale popcorn and poor quality food complaints,R1LVRGWJC2WRXQ,Mushroom Popcorn Kernels - Just Poppin Brand,"Popcorn good, but does have a lot of hulls",0
q05,stale popcorn and poor quality food complaints,R39B2N7O7264R8,Great Northern Popcorn Organic All Natural Yellow Gourmet Popcorn,good popcorn,0
q05,stale popcorn and poor quality food complaints,RT4EQN5XKFFKC,"Hoosier Hill Farm Gourmet Mushroom Popcorn, 3 Pound","Terrible, Terrible Popcorn",0
q05,stale popcorn and poor quality food complaints,R2XYYBA6332066,Hoosier Hill Farm Gourmet Popcorn Huge 6 lb. Family Size,Life is too short for cheap popcorn.,0
q05,stale popcorn and poor quality food complaints,RIX7B2UM1Z9UD,Snappy Popcorn,Fantastic Popcorn; Cheaper Elsewhere,0
q05,stale popcorn and poor quality food complaints,R1JORUIBNE8W50,Gary Poppins Aged White Cheddar Popcorn,Average popped popcorn,0
q05,stale popcorn and poor quality food complaints,R11CU3IVV4F2PZ,Wabash Valley Farms Amish Country Gourmet Purple Popping Corn,Good Flavored Popcorn,0
q05,stale popcorn and poor quality food complaints,R1979SSMM41OVI,Orville Redenbacher Popcorn Kernel Jug( Original ),Bad Popcorn!,2
q06,sugar free peanut butter protein bars,R1M8B0TCA5RNJ7,"Jif Creamy Peanut Butter Granola Bar, 5 Ct",The most delicious bars!,1
q06,sugar free peanut butter protein bars,R22QYHEJVB8U0C,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Peanuty goodness,0
q06,sugar free peanut butter protein bars,RZG91POX9V7C0,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Very delicious Peanut Butter bars that are easy for on the go !,0
q06,sugar free peanut butter protein bars,RX1PMO6MGKUMT,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Jiff Bars!,0
q06,sugar free peanut butter protein bars,R3UBT9OC7KK2D5,"Quest Nutrition- Quest Bar Variety Pack: Cravings Peanut Butter Cups, Chocolate Chip Cookie Dough, Double Chocolate Chunk and Chocolate Brownie 36 Protein Bars","The bars were great, but I didn't like the Peanut Butter Cups",1
q06,sugar free peanut butter protein bars,R1K2KZQ09SN1KS,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",SOOOO GOOD!,0
q06,sugar free peanut butter protein bars,RL9KESGCFZ9SX,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Awesome treat packed with protein.,0
q06,sugar free peanut butter protein bars,R1J18S3WRUJWUP,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Protein wrapped in a yummy bar!,0
q06,sugar free peanut butter protein bars,R3V2LX5J0MTLPS,KIND PLUS Gluten Free Bars,I have Celiac and love these bars,2
q06,sugar free peanut butter protein bars,R2BRH8S9R3ZNXI,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",These are so good and peanut buttery,0
q07,bulk rice for long term food storage,R2SKZZ2UHOP1O6,"Formosa Brand Pork Sung, 18 Oz",This with rice and you're ALLL good.,0
q07,bulk rice for long term food storage,R1C4GXPKQ6YP9R,"Nozomi Super Premium Short Grain Rice, 15-Pound",My everyday rice,2
q07,bulk rice for long term food storage,R266FN6XIEBPOC,Thai Sticky Rice (Sweet Rice) 5 Lbs,DON'T BUY!!!! It's NOT sticky rice!!,2
q07,bulk rice for long term food storage,R21M2VKS4IC6M0,Organic Harvest Medley Rice Blend 3.2lbs,VERY Dense Rice,2
q07,bulk rice for long term food storage,R2R9QALMGX8ZM8,Roland Foods Basmati Rice,"Good stuff, would buy again.",1
q07,bulk rice for long term food storage,RO6BMB7DCMPFQ,"Sempio Black Rice, 4 Pound",Wonderful Black Rice,2
q07,bulk rice for long term food storage,R2YDO7JZII1RRT,UNCLE BEN'S Ready Rice Cheddar & Broccoli Pouch,"Uncle Ben's Rice, always a favorite",1
q07,bulk rice for long term food storage,R3VSPEL0QARJPO,Royal Basmati Rice in Plastic Bag,Too expensive and not as good as cheaper brands of Basmati rice.,1
q07,bulk rice for long term food storage,R19243OLKZ7FG5,"Pace Ready Meal, 9 Ounce (Pack of 6)",Pace Ready Meals - Bad Execution / Poor Ingredient Mix,0
q07,bulk rice for long term food storage,R2WOBT0K0BV41O,"Calasparra Rice (Paella Rice) - 1 bag, 1 Kg",I loved this rice,1
q08,variety candy bags for halloween trick or treating,R291NMEMFZ4FVK,Indian Candy Corn,Avoid this product,1
q08,variety candy bags for halloween trick or treating,R5SZ6A8R71KEK,Now and Later Strawberry -6pc (24 pack),Good candy,2
q08,variety candy bags for halloween trick or treating,RDTKZUULCQWPN,"Skittles Original Candy, 9 ounce bag",More please,2
q08,variety candy bags for halloween trick or treating,R2XJMZXQ4OHAMQ,"Frankford Zombies Gummy Candy, 8.88 oz Bags in a Gift Box (Pack of 2)",Delicious Zombie Greatness,2
q08,variety candy bags for halloween trick or treating,R1FP09N0242RIJ,"Candyland Variety Pack Candy Mixed Assortment Includes Air Heads, Sour Patch, Laffy Taffy, Jolly Ranchers, Lemon Heads, Swedish Fish, Mike and Ike, Trident Gum & Many More!! Includes Our Exclusive Custom Varietea Mints Bulk Sampler of 45 Small Fun Size Pieces",Candy Coma,2
q08,variety candy bags for halloween trick or treating,RSDOE8AIR82GH,"Colombina Strawberry Delights Hard Candy, 3 lb Bag in a BlackTie Box",Colombina Strawberry Delights Hard Candy,2
q08,variety candy bags for halloween trick or treating,R1YD3S4TJZRC3O,"DiabeticFriendly Sugar Free Chewy Black Licorice Scottie Dogs (bulk/LB) Zero Fat, about 10 calories each, do not BUY from any one else as they are IMITATIONS",Great Candy,0
q08,variety candy bags for halloween trick or treating,RVM7663G7MZPC,"Perugina Capri Hard Candies, 1 lb Bag in a Gift Box",I love the variety you get with these,0
q08,variety candy bags for halloween trick or treating,R3545J78O07CPE,Annie's Homegrown Organic Vegan Fruit Snacks Variety Pack 36 Pouches - .8 Oz. Each,Like the bigger bags,2
q08,variety candy bags for halloween trick or treating,R2LILSSROVNA82,Skittles Original Candy,"Skittles Original, 41-Ounce Bags (Pack of 2)",2
q09,easy to make cold brew iced tea for summer,R1D2RVDH027GED,"Lipton Berry Iced Herbal Tea Keurig K-Cups, 24 Count",Great Flavor,2
q09,easy to make cold brew iced tea for summer,R3G7U9TV2S43ZR,"Snapple Lemon Iced Tea K-Cup Packs, 16 Count","Quick easy, tasty tea!",2
q09,easy to make cold brew iced tea for summer,R1LRX0TRYWKQ4P,"Torani Blackberry Syrup, 750 ml",Perfect for Iced Tea,0
q09,easy to make cold brew iced tea for summer,R2CEZWH9398G79,Tealyra - Ripe Pu'erh Tea - 5 Years Aged Loose Leaf - 100% Natural And Organic - Caffeine Level High - Weight Loss Tea - Aged Black Tea Pu Er,Good tea. Easy to brew and makes a nice ...,2
q09,easy to make cold brew iced tea for summer,R29NT483DQ86PM,Crystal Light Pitcher Packs,Summer Yum,0
q09,easy to make cold brew iced tea for summer,R1UZD751VNVPKK,"Lipton Tea Bags Green Tea Decaffeinated, (Pack of 2) Superfruit Blackberry and Pomegranate, 20 Count Package.",Great for Iced Sun Tea!,2
q09,easy to make cold brew iced tea for summer,R1YYBRETKNIVHU,Taylors of Harrogate Assorted Tea,Love the taste of this tea,1
q09,easy to make cold brew iced tea for summer,R1XMUSIM9AEC9Z,Stash Tea Moroccan Mint Green Tea,wonderful great tea both hot and summer ice tea,2
q09,easy to make cold brew iced tea for summer,R359W7J0NNHWL,Peach - Long Island Iced Tea - 12 Pack 20oz,Peach Iced Tea does the trick!,2
q09,easy to make cold brew iced tea for summer,RSE2PP8HDYYNU,Lipton Iced Tea Mix,just not very good for everyday use,2
q10,soy sauce alternatives like liquid aminos,RUV7L0KDJN553,"Wholly Ganjang, Premium Gluten-free Unpasteurized Artisanal Korean Soy Sauce",Better than the soy sauce I grew up on,1
q10,soy sauce alternatives like liquid aminos,R3R0YQLJT8DJI6,Maggi Arome Saveur Depuis 1889,Worthy.,0
q10,soy sauce alternatives like liquid aminos,R2DAYMBVLTY95O,Coconut Secret Organic Raw Coconut Aminos Soy-Free Seasoning Sauce-8 Oz,and better for you then sodium packed soy sauce,0
q10,soy sauce alternatives like liquid aminos,R1W6EWGF728LGJ,"Wholly Ganjang, Premium Gluten-free Unpasteurized Artisanal Korean Soy Sauce",A Truly Authentic Korean Soy Sauce,1
q10,soy sauce alternatives like liquid aminos,R16UYJ09FZEF78,Coconut Secret Organic Raw Coconut Aminos Soy-Free Seasoning Sauce-8 Oz,So good. After you try this you will never buy ...,0
q10,soy sauce alternatives like liquid aminos,R12ZPMXGZJ8F1H,"San-J Reduced Salt Soy Tamari Sauce, 10 oz",I suppose this serves its purpose as its gluten free ...,0
q10,soy sauce alternatives like liquid aminos,R1OTDRCYGJSLQA,Don't Go Nuts Nut Free Energy Bar,"soy, soy, soy...  :-(",2
q10,soy sauce alternatives like liquid aminos,R2Y8BQR54S4NHU,Crystal Hot Sce,Great Vinegar Based Hot Sauce.,0
q10,soy sauce alternatives like liquid aminos,R3NCJWPM9R44JF,Jelly Belly Tabasco Beans,Fun idea/gag for the hot sauce lover,0
q10,soy sauce alternatives like liquid aminos,R2YNXXBB8K0SKR,Lobo Brand Thai Satay Mix (Peanut Sauce) 3.5 Oz Each - 5 Packs,The best and easiest peanut sauce,0
q11,keto friendly electrolyte powder for dehydration,R2U8L6GLHX92LK,Carbquik Baking Biscuit Mix,Five Stars,0
q11,keto friendly electrolyte powder for dehydration,R4RTQGBZPQDBQ,"Natural RX Supplements NON GMO Coconut Water - Raw, Natural, Wildcrafted Electrolyte Powder (8oz) FREE 2 DAY SHIPPING",Works for me.,1
q11,keto friendly electrolyte powder for dehydration,R2XF2MWJSW1WRT,"TEAki Hut Instant Black Tea Powder 4 Ounce (200 Servings) | 100 Percent Pure Ground Tea No Fillers, Additives or Artificial Ingredients of Any Kind",was not at all like fresh brewed tea,1
q11,keto friendly electrolyte powder for dehydration,R2OC3IBDMPR8GK,Organic traditions blueberry powder - 3.5 oz,Did not arrive as a powder.,1
q11,keto friendly electrolyte powder for dehydration,R1HV8IEF9YZEGH,"Bell Plantation PB2 Powdered Peanut Butter with PB2 and Premium Chocolate, 16 Ounces, (Pack of 4).",Fantastic PB powder!,2
q11,keto friendly electrolyte powder for dehydration,R39W3BGFIMBGE9,"The Organic Coffee Co., Breakfast Blend, 12 OneCup Single Serve Cups",Great coffee and environmentally friendly.,0
q11,keto friendly electrolyte powder for dehydration,R2YZ8BPNNLU6RV,Viva Labs Hemp Protein,The powder has worked great in smoothies and baking,0
q11,keto friendly electrolyte powder for dehydration,R1K07SQHAGJ3E7,"Hoosier Hill Farm Organic Icelandic Kelp Powder, 1lb.",Love It,1
q11,keto friendly electrolyte powder for dehydration,R2O28WG1HVBMX9,"Crystal Light On The Go Cherry Pomegranate Display, 30 Count",... drop that powder into a huge water bottle and enjoy the great flavor,0
q11,keto friendly electrolyte powder for dehydration,R2RZZ2K62DBNH1,"Everly Passion Fruit Green Tea - All Natural Powdered Drink Mix - (36-ct) - Sugar Free, Zero Calorie, Healthy Water Enhancer",Gotta try them,1
q12,spicy korean ramen with high heat level,R3C3U7CWEYNEGU,Sempio Hot Pepper Paste (Gochujang) 500g /1.1lb,Spicy but so good,0
q12,spicy korean ramen with high heat level,R1FDT6YLWFLK8T,"NongShim Shin Ramyun Noodle Soup, Gourmet Spicy, 4.2 Ounce",Delicious,2
q12,spicy korean ramen with high heat level,R2GCZ5EWS02ZFI,Vidalia Zesty Ranch Sweet Onion Petals 3.5 oz Bag (Pack of 3),Very delicious. Slightly spicy/hot. I generally stay away ...,0
q12,spicy korean ramen with high heat level,R2EZ19YY2SU87P,"Ottogi Jin Ramen (Hot Taste), 2.29-ounce Packages (Pack of 6)",Spicy and good,2
q12,spicy korean ramen with high heat level,R1IJAZA1JDRC8Z,"NongShim Shin Cup Noodle Soup, Gourmet Spicy, 2.64 Ounce",Absolute Best Ramen - Style Meal,2
q12,spicy korean ramen with high heat level,R34N11SVYZ7QUV,Spike Hot 'n Spicy Natural Gourmet Seasoning,Love the heat,0
q12,spicy korean ramen with high heat level,R1U2QL09IU6JUL,Nongshim Noodle Soup,Five Stars,1
q12,spicy korean ramen with high heat level,R1W6EWGF728LGJ,"Wholly Ganjang, Premium Gluten-free Unpasteurized Artisanal Korean Soy Sauce",A Truly Authentic Korean Soy Sauce,0
q12,spicy korean ramen with high heat level,R1YQHO9XAVM1C7,"Dr. McDougall's Right Foods Vegan Hot & Sour Ramen, 1.9-Ounce Cups (Pack of 6)",I really like it.,2
q12,spicy korean ramen with high heat level,R38HJULSFLDD86,Korean BBQ for Beef - 29.63fl Oz (Pack of 1),Yummy sauce,0
q13,natural sweeteners that don't have an aftertaste,R1YKMU946EYJBW,AWAKE Chocolate - Caramel 1.55oz - 12pk,Aftertaste?,2
q13,natural sweeteners that don't have an aftertaste,RIBMD1QCJ5MSM,"V8 V-fusion + Plus Energy Black Cherry, 8 fl. oz. cans (Pack of 24)",Artificial sweetener...I like real sugar,0
q13,natural sweeteners that don't have an aftertaste,R37A5SE85MPPDQ,"SweetLeaf Sweetener (70-Count Packets), 2.5-Ounce Boxes (Pack of 3)","Great pack of three, all natural stevia product",1
q13,natural sweeteners that don't have an aftertaste,R35U9GKZFEG8MJ,"Sugar Twin Calorie Free Sweetener,  100-Count Boxes (Pack of 12)",Five Stars,1
q13,natural sweeteners that don't have an aftertaste,R1TRP4SOCLVZZ5,"Natvia 100% Natural Sweetener, Canister, 7 Ounce",NatVia is my new best friend!,1
q13,natural sweeteners that don't have an aftertaste,RPK68E9GQL46B,NOW Foods Xylitol Plus Stevia Packets,Xylitol Plus Stevia a Winner for Alternative Sweeteners!,1
q13,natural sweeteners that don't have an aftertaste,R1VHC4JYF2MRN1,"Orgain Organic Plant Based Protein Powder, Packaging May Vary","Best protein powder I've tasted in a long time.  No aftertaste, blends well with other igredients.",0
q13,natural sweeteners that don't have an aftertaste,R2LHLNA2JQYRA9,Stevita Liquid Extract 1.35 Ounces,Five all the way!,0
q13,natural sweeteners that don't have an aftertaste,R3GJTBL3EZ084P,Coffee-mate Coffee Creamer,Two Stars,2
q13,natural sweeteners that don't have an aftertaste,R37KF2ORVCBSS7,"LorAnn Oils Emulsion, Banana, 4 Ounce",There was not weird aftertaste just a nice banana taste,0
q14,caffeinated chocolate covered espresso beans,RS7TRT9QX1MKL,Nespresso OriginalLine Roma,Great espresso - consistently.,0
q14,caffeinated chocolate covered espresso beans,RAXVV2XWZG5YT,Kasugai Sumiyaki Coffee (3.35oz),Wow:  It's as Americano* as candy gets.,0
q14,caffeinated chocolate covered espresso beans,R2RVJLAUL7MSSL,Marley Coffee Buffalo Soldier,Great!,0
q14,caffeinated chocolate covered espresso beans,R3R6AY7SDTPTUC,"Lavazza Whole Bean Coffee, 2.2 Pound Bag",Just like in Italy,0
q14,caffeinated chocolate covered espresso beans,R2TE0RBLTZA0B5,"Eight O'Clock Whole Bean Coffee, Colombian Peaks, 11 Ounce (Pack of 6)",Love these coffee beans!!,0
q14,caffeinated chocolate covered espresso beans,R28G69H7IOTYBW,Best Espresso Coffee - Joltin' Joe Espresso Ground - 12 Ounce Bag - 100% Arabica Beans - Award-Winning,Expensive and it's not espresso machine ground fine enough. I think it's a pretty weak flavored ...,0
q14,caffeinated chocolate covered espresso beans,R3N4D4WGUQXNMJ,"Lavazza Top Class Whole Bean Espresso, 2.2-Pound Bag",Five Stars,0
q14,caffeinated chocolate covered espresso beans,RWA3VXB265N9,Jamaica Blue Mountain Blend 16oz/ 1lb Beans,BEST COFFEE EVER!!!,0
q14,caffeinated chocolate covered espresso beans,RRMHH3UOBAGAJ,"illy iperEspresso Capsules Dark Roasted Coffee, 5-Ounce, 21-Count Capsules",I LOVE IT,0
q14,caffeinated chocolate covered espresso beans,R3MRQF8QFI0Q4,"Dancing Moon Colombia Nariño Whole Bean Organic Fair Trade Coffee, 2 lbs.","Round, Well Balanced, Outstanding Coffee",0
q15,dairy free milk powder for baking,R1V6Q467H4NFXE,"Better Than Milk Original Vegan Rice Powder, 21.4 Ounce",Good substitute for dairy powdered milk,2
q15,dairy free milk powder for baking,R39Z30GA0AWNW9,"Lenny & Larry's The Complete Cookie, Chocolate Chip, 4-Ounce Cookies (Pack of 12)",these are amazing. If the label didn't say dairy free,0
q15,dairy free milk powder for baking,RNPR0ML7ECGB,Happy Creamies Organic Veggie and Fruit Snacks with Coconut Milk,Perfect dairy free option!,0
q15,dairy free milk powder for baking,R2DICYRBRD8A9O,"Living Harvest Tempt Hemp Milk, Unsweetened Original, 32-Ounce Containers (Pack of 12)",Better than milk,0
q15,dairy free milk powder for baking,R2YZ8BPNNLU6RV,Viva Labs Hemp Protein,The powder has worked great in smoothies and baking,0
q15,dairy free milk powder for baking,R183L9W7BH89SR,kataoka – Té verde Matcha Leche 7.05oz,"Delicious, best matcha milk",0
q15,dairy free milk powder for baking,R1HV8IEF9YZEGH,"Bell Plantation PB2 Powdered Peanut Butter with PB2 and Premium Chocolate, 16 Ounces, (Pack of 4).",Fantastic PB powder!,2
q15,dairy free milk powder for baking,R2E9R49Y2Y4MJ3,Hoosier Hill Farm,This is NOT coffee creamer as a powder.,0
q15,dairy free milk powder for baking,RFTQ8A3OEM88G,Peak Instant Full-Cream Dry Whole Milk Powder,Five Stars,1
q15,dairy free milk powder for baking,RHUO5RQIUV5TA,Nestle NIDO Fortificada Dry Milk,Dry can be good,0
q16,high protein snacks for toddler lunch box,R84S9A0YYICS1,"Plum Organics Second Blends Hearty Veggie Meal, 3.5 Ounce (Pack of 12)",My toddler's favorite,0
q16,high protein snacks for toddler lunch box,R2MP04MH61K2LN,The Good Bean Chickpea Snacks,high protein snack,2
q16,high protein snacks for toddler lunch box,R9IZ5M6GILIV7,Veggies,Perfect snack for out and about.,0
q16,high protein snacks for toddler lunch box,RL9KESGCFZ9SX,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Awesome treat packed with protein.,2
q16,high protein snacks for toddler lunch box,R3GQ11XKN0ZOJ4,"Annie's Organic Bunny Fruit Snacks, Variety Pack, 24 Pouches, 0.8 oz Each",Five Stars,1
q16,high protein snacks for toddler lunch box,RWACMLR9X7HXZ,"KIND Bars, Dark Chocolate Nuts & Sea Salt 12ct, Gluten Free, 6g Protein, 5g Sugar",Really great protein snack,2
q16,high protein snacks for toddler lunch box,R1OW95W101N2K0,"Non-GMO and Natural Healthy Snacks Care Package - College, Military, Get Well, Thank You Gift, School Lunch, Office Variety Pack",Amazing healthy great tasting snacks,1
q16,high protein snacks for toddler lunch box,R2IHRHCKP2GF9H,Sahale Snacks,amazing grab and go snacks.,1
q16,high protein snacks for toddler lunch box,R1J18S3WRUJWUP,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Protein wrapped in a yummy bar!,2
q16,high protein snacks for toddler lunch box,R37HCFSER6CCBG,"Enlightened Crisp The Good for You Crisp Roasted Broad Beans, 3.5 Ounce (Pack of 6)",I love salty snacks and we all know that chips and ...,0
q17,artisanal olive oil for dipping bread,RMXAREB2PCAHM,Sintonia from Madonna dell'Oliva Extra Virgin Olive Oil 2014,Super good tasting Olive Oil,2
q17,artisanal olive oil for dipping bread,R2RLEM7XTNCUQ5,"Barbera Lorenzo  #3 Sicilian Extra Virgin Olive oil D.O.P. Val Di Mazara, 16.9-Ounce",The Absolute Best Olive Oil in the Entire World.,2
q17,artisanal olive oil for dipping bread,R2HI9XD7E01B4P,Terra Creta | Award Winning | Kolymvari Estates | 100% Pure Greek Olive Oil | Cold Extracted | Protective Designation of Origin | 3Ltr - (101.6 fl.oz) Tin,An honest olive oil,1
q17,artisanal olive oil for dipping bread,R3VDLRKXEIS748,Dean Jacob's Tuscany Bread Dipping Seasoning ~ 3.8 oz.,Dipping Queen...Really Enjoy,2
q17,artisanal olive oil for dipping bread,R1Q90A9DT4T7N8,Kevala Organic Olive 1/2 Gal,Super high quality organic olive oil,0
q17,artisanal olive oil for dipping bread,R3GB2ME2MXZBEM,"Brookfarm Natural Macadamia Nut Oil , 8.5-Ounce Bottles (Pack of 3)",The Perfect Oil,0
q17,artisanal olive oil for dipping bread,ROCQP6X2FI61P,"Bertolli: ""Fragrante"" Virgin Olive Oil - 1 liter * Pack of 2 [ Italian Import ]",This olive oil has the best and truest olive flavor i have found in moderate ...,1
q17,artisanal olive oil for dipping bread,R1QMFTIIZ9ZKVF,"Melina's Extra Virgin Olive Oil, Pepperino Chili Pepper, Garlic and Rosemary Infused, 2 oz.","Excellent ""garnish"" oil!",2
q17,artisanal olive oil for dipping bread,R34KH1K9BMMCCK,Chosen Foods 100% Avacado Cooking Oil - 1ltr Bottle (33.8fl) ~ Variety Pack,Very healthy alternative,0
q17,artisanal olive oil for dipping bread,R3CVRQ5O6645H,"Colavita Extra Virgin Olive Oil Special, 17 Ounce (Pack of 2)","Good olive oil, great item for subscribe and save",2
