marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,53009021,R3QZP3GWQTO7RQ,B00D1DP00S,402938595,True Lemon Pack,Grocery,1,12,15,N,Y,True lemonade's new formula hurts. More ascorbic acid is not better.,"When I my gums and tongue felt sore, I knew that something I was eating or drinking must have an excess of ascorbic acid. I checked the label for True Lemonade and saw that the vitamin C content had quadrupled (from 25% of the daily requirement to 100%), which means that the ascorbic acid content of the product increased dramatically. This is a concern not only for the symptoms I experienced, but ones that aren't as readily obvious such as tooth enamel erosion. We used to drink a lot of True Lemonade in our house, but no more.",2015-08-19
US,18000089,R2HQ0036Y79VK3,B0089U27SQ,257986592,Gold Foiled Milk Chocolate Balls 1LB Bag,Grocery,4,0,0,N,Y,Enjoyed!,"Everyone at the party really enjoyed these chocolates. When I explained they were ordered from Amazon, several again stated their surprise in quality and taste.<br /><br />I would definitely buy these again.",2015-08-21
US,49205484,R1DXI8Z0HO5DRP,B00TYYRSTE,902747035,Astronaut Ice Cream Variety Pack - 10 Packs (Five Different Flavors),Grocery,4,0,1,N,Y,Four Stars,was fun to have for a solar system party. taste is interesting but kids liked it,2015-08-18
US,7510372,R2I53NCS337100,B00VRYYE4G,752841708,"Food Grade Sodium Hydroxide Lye 99% Pure Micro Beads, 2 Lbs",Grocery,5,2,2,N,Y,Very happy with the product and will purchase again,Product arrived right on time and packaged in a bottle with child proof cap. Very happy with the product and will purchase again!,2015-08-25
US,33858678,R63EEGDBBDFFW,B0009F3POY,711117274,Traditional Medicinals  Tea,Grocery,5,1,1,N,Y,Literally felt my breasts swell with milk half way through ...,"Literally felt my breasts swell with milk half way through the day! I bought this when i when back to work and would be pumping for my baby. I would drink a cup in the morning with honey, and by lunch i NEEDED to pump. Has a licorice smell and taste but is not as strong as typical black licorice candies. Delicious with honey.",2015-08-24
US,4339685,R2AN7PQ9KH97H0,B0083F5GVW,463552277,Amazing Grass Amazing Meal Formulas,Grocery,5,0,0,N,Y,helps keep the pregnant lady full,"I'm pregnant and finding it very hard to stay full and get the correct amount of protein in my diet everyday. I drink this as an in between meal shake and it helps keep me full. I add almond milk, frozen banana and peanut butter and I think the taste is yummy.",2015-08-23
US,42200260,R38SM8JGKRJRH0,B000FDN7AM,68121090,"Vigo Octopus  in Marinade Sauce, 4-Ounce Cans (Pack of 10)",Grocery,5,0,0,N,Y,"Great Octopus, for every application","Delicious, whether eaten as a snack with crackers, a protein in a salade or complementing a soup or noodle dish ~ yummo......",2015-08-24
US,24023075,R2HMMPRCPNPWHA,B00KC0LLFQ,375555866,"Kicking Horse Coffee, Whole Bean Coffee, 2.2 Pound Pouch",Grocery,3,0,0,N,Y,Not bad,Tried my first cup the other day. The aroma from the coffee is a little muddled without any distinct notes. The coffee itself is good; better than other generic coffee brands but does not stand up to better coffees roasted in the local area where I am from (Bay Area),2015-08-26
US,45455772,R2D8MLZTLT0CL2,B00LY95FBU,968725448,Subtle Earth Organic Gourmet Coffee,Grocery,5,0,0,N,Y,We love love the coffee and you get a dark dark ...,"First saw the organic coffee during sam's demo. We bought one and went back for more to find it cancelled,but found we could order on line.We love love the coffee and you get a dark dark roast would like to try it. Thanks",2015-08-22
US,45136018,R34G71375AAZU4,B00FYJT9V8,243909757,"Red Bull Red Edition, Cranberry Energy Drink",Grocery,5,3,4,N,Y,Great tasting Energy Drink.,"My husband loves these Red Bull energy drinks. He drinks them during the day at work to keep him going, and occasionally in the morning in lieu of coffee. The price was fair and having them delivered right to our door is incredibly convenient. Buying in bulk from Amazon saves us time and money and we rarely run out which is great. These Red Bulls taste great, provide that much needed boost of caffeine, and though I have yet to see them give you wings, I do have high hopes. We plan on buying more soon.",2015-08-30
US,52246130,R7NB8LDI1S13Y,B0013L0C6W,452114903,SodaStream SodaMix,Grocery,1,0,0,N,N,won't be buying this again,"Love my SodaStream, but hate the tonic syrup.  The artificial sweetener taste is very strong, even when I added about a quarter of the recommended amount.  Lime didn't come near covering it up. Surely they can come up with a new version with cane sugar and more bitterness. I'd buy that!",2015-08-18
US,26112648,R1HS4MDPBNAKUL,B00S8U0N4W,883066546,"G.H. Cretors Popcorn Chicago Mix, 22 ounce bag (1 lb 6oz)",Grocery,5,0,0,N,Y,Best Popcorn Ever,Best Popcorn Ever. Wish it was sold at more stores. Only able to buy at one of the larger stores that requires a membership.,2015-08-18
US,15216445,R3SAEAEFCQOB9W,B004BMWWZE,155549495,"Loriva Roasted Peanut Oil, 12.7 oz",Grocery,5,2,2,N,Y,Superb Flavor,"This oil is the best for Asian cooking - pan fried noodles are downright heavenly cooked in this. It's also good for other types of food where the flavor of the oil is likely to be detectable and the kitchen smalls wonderful when I cook with it. Made from roasted peanuts, it is more akin to roasted sesame oil in flavor rather than the standard peanut oil you see in markets that is fairly flavorless. My local market used to carry this but stopped stocking it a couple of years ago and the closest product I'd found was one made by Hain that was not nearly as rich or flavorful. I was pleased to find it at such a good price, my market was charging close to $10 per bottle and the last time I ordered this from Amazon I had to buy a case of 6 bottles to get a good price and free shipping. Not a problem as I was able to share some with friends and use it all before it went rancid but it's nice to know that now I can just order a couple of bottles at a time if I wish.",2015-08-26
US,15276695,R2HVWQX7LK94CI,B00I52WXJ6,751583833,"Jolly Time Yellow Popcorn Kernels - Gluten Free Stovetop Popping Corn, 2 lb. Bags (Pack of 12)",Grocery,5,0,0,N,Y,"Healthy nightly snack,",The best popcorn ever.  We have it every night.,2015-08-21
US,32096553,R1055USXOQECMZ,B005F5KEQK,898360812,Tropi-Cola Cola Champagne Soda 12 oz,Grocery,5,1,1,N,N,Best soda ever,"Best soda ever!! No caffeine, but really sweet and feels like it gives you a boost.  I have been drinking this since I was a kid, but only occasionally because they don't typically sell it in stores near me.  When I have, I am always anxious to let people try it and get their opinion, because it is truly unique flavor.  I think it tastes like a really sweet creme soda, but most kids say it tastes like bubble gum.  I don't really agree, because i am not a fan of bubblegum, but i would choose this soda over anything, if it was on the menu.",2015-08-19
US,42267465,RYY776CWAYF4O,B00B6Y20YS,703801179,Sanders Dark Chocolate Sea Salt Caramels - 36 Ounce each Container - (SUPER VALUE 2 Pack),Grocery,5,0,0,N,Y,"My favorite, but...","Is my favorite!  Delicious and creamy.  The only negative is that I will not order in the summer months again,  The delivery was fast, but a couple days In the delivery system, the chocolate was definitely affected by the heat and a lot of the salt was at the bottom of the containers.",2015-08-27
US,20106133,R1D2RVDH027GED,B00UW2QC4E,239618901,"Lipton Berry Iced Herbal Tea Keurig K-Cups, 24 Count",Grocery,5,3,3,N,Y,Great Flavor,This tea is great! I usually brew it into a glass with ice and frozen berries. Makes a great summer time tea.,2015-08-20
US,51727572,R3IEPM4K4GEVGD,B00LUYLV0S,15879639,Stone Brewing Co. Crime & Punishment Scorpion Pepper Hot Sauce,Grocery,4,0,0,N,Y,A lil sweet from the honey added,"A lil sweet from the honey added, but they both have a great kick, and wonderful flavor. The Crime is especially good on eggs.",2015-08-30
US,47978740,R1I1KBKEG02U3L,B00Y1C9770,729982780,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Grocery,4,0,0,N,N,Omg so yummy,"“I’m a member of the Crowdtap Jif™ program, and Jif™ sent me a sample of its Jif™ Bars to try review. They sent me 3 and I loved all of them. I'm a big peanut butter lover so these really hit the spot for me. They are easy to throw in the purse or lunch which is also a plus for this busy mom!!",2015-08-31
US,42638776,R8XEYYD4SGEQR,B0042J2VWU,721582108,Takis Nitro 4pk (4.oz),Grocery,1,0,0,N,N,"Bland, not hot at all.",The hottest thing about these is the graphics on the package.,2015-08-18
US,49712768,R221DEIBTZ47CE,B004S0332A,687921259,Kirkland Signature Sweet Mesquite Seasoning - 19.6 Oz,Grocery,5,0,0,N,N,"It's back at Costco, first time I've seen on ...","It's back at Costco, first time I've seen on the shelves in a couple of years and I check everytime I go. &#60; Salem Oregon Costco at least.",2015-08-29
US,30706473,R24NHEBVCYBAG9,B0006VWV2I,741697344,Charles Chips Original Potato Chips 1 Pound Tin,Grocery,4,1,1,N,Y,Just like I remember from my youth,Fresh chips. Just like I remember from my youth. Delivery was very fast!,2015-08-24
US,23039957,R3PAUK46RBQNTI,B0037BONRK,113379441,"Kirkland Signature Pure Vanilla, 16 Ounce",Grocery,5,0,0,N,Y,Great vanilla. Good value,Great vanilla.  Good value.  Had this brand previously; not sure where I got it but when I saw it on Amazon had to have it.,2015-08-20
US,2323808,R1NOG8FTR0BW2H,B00778B90S,582285114,"NongShim Shin Ramyun Noodle Soup, Gourmet Spicy, 4.2 Ounce",Grocery,5,0,0,N,N,Thanks Harry Son,"The only reason I even know of this brand is because of Koreans, that's how good it is, cultural approval!",2015-08-29
US,10292533,R1IX1QWR0XRU76,B00TI147DS,65373487,"Mayacamas Hollandaise Sauce, 1 Ounce (Pack of 12)",Grocery,5,0,0,N,Y,Fantastic,Better than non-gluten free mix.,2015-08-22
US,32878271,RAULCK9ORPXA9,B008KN044Q,643341606,Lawry's Garlic Seasonings,Grocery,5,0,0,N,Y,Five Stars,One of the best spices I have had. We use it on everything.,2015-08-27
US,46505223,R33L4Q7WDMK9JC,B006ZOWALM,385616370,Salsa Lizano 700 ml 3-pack,Grocery,5,0,0,N,Y,Five Stars,Delicious! Friend brought some back from a Costa Rica trip a few years ago and been hooked ever since.,2015-08-24
US,50817133,R2EYTAN38ISBLO,B006R1SQMK,694751305,Lundberg Organic Quick Wild Rice,Grocery,5,0,0,N,Y,Wild for wild rice,"Very tasty, can't go wrong with Lundberg products.  Price was decent also and the free prime shipping is always awesome.",2015-08-20
US,47519707,R11K6PSHZYE36W,B007SRY2YS,176950114,"Sahale Snacks Crunchers, 4-Ounce Pouch",Grocery,2,0,0,N,Y,These were extremely salty tasting. I used them on ...,These were extremely salty tasting. I used them on a salad and everyone at the dinner party picked them off.,2015-08-20
US,27903104,R11A6SPSECGEMG,B00LQEZON2,528927484,LEENA SPICES – Thai Red Seasoning Curry Powder – Gluten And Salt Free Spice Blend - No Coloring Mix – With Chicken And Vegetables Recipe – Enjoy Quality Spicy Thai Food,Grocery,5,1,1,N,Y,Five Stars,"Amazing curry blend, albeit small in size.",2015-08-18
US,17431211,R10PTEXCAP3AAX,B00K6QUKOO,583354051,"Flavored Coffee Single Serve Cups For Keurig K cup Brewers Variety Pack Sampler, 40 count",Grocery,2,0,1,N,Y,Russian Roulette K-Cup Style,"Not what I expected!  These are all the left over flavors nobody wants!!  Strawberry Cheesecake, Pumpkin Pie, Cinnamon Spice, Hot Fudge Sundae, LOTS of Caramels, Cookies and Cream, etc etc. It felt like Russian Roulette everytime I popped one in the Kuerigg.  Was it going to be drinkable, or disgusting?  Be prepared for surprises, like one I swear had hot sauce in it.",2015-08-20
US,25829617,R3O35EJO54BPZU,B00QZKFSTW,684140714,"Bai5, 5 calorie HEALTHY Variety Pack, 100% Natural, Antioxidant Infused Beverage, 18-Ounce Bottles",Grocery,1,5,6,N,Y,misleading quantity!!!,"Misleading product description.  Thought it was 12 bottles in 6 flavored, when in fact it was only one of each for a total of 6 bottle, for $21!!! Crazy. Would NOT have purchased if I knew quantity!",2015-08-29
US,24797535,R1KBDCAYBF37ZA,B004IN7U2G,116130230,"Ostrim Maple Brown Sugar Turkey Sticks, 1.5-Ounce (Pack of 10)",Grocery,5,0,0,N,Y,"Taste great, perfect for people who have had a gastric bypass.",These are the perfect snack for someone who has had a gastric bypass. We need a high protein low fat low sugar diet. I wish there was a better selection for subscribe and save.,2015-08-29
US,20178516,R1I3H40EPT8RAG,B0046HLQ2O,594985158,"Woodstock Lightly Toasted Almond Butter, Unsalted",Grocery,5,0,0,N,N,"... dozen brands of almond butter and this is the best tasting, hands down","I have tried about a dozen brands of almond butter and this is the best tasting, hands down.  And it's raw! . . . probably why it tastes so great.",2015-08-27
US,11266899,RLYSXE11VVOGD,B007S950WO,541220976,The Republic Of Tea Get Clean AM Herbal Tea,Grocery,5,1,2,N,Y,"I love all teas from The Republic Of Tea, this one included.","I love all teas from The Republic Of Tea, this one included.<br />The taste is great & always love their packaging. I don't have acne, but any chance I get to drink delicious tea and it will help keep my skin looking young is win for me!",2015-08-23
US,38153912,R6BXCHIQ0U72Z,B00BXG7IJ6,888622335,Community Coffee K-Cup Pods,Grocery,5,0,0,N,Y,Five Stars,Price was right and on sale. Wish they would put these on sale again.,2015-08-26
US,52918371,R218ZGZKU1JTD2,B001HTI60Y,513058801,Westsoy Organic Vanilla Unsweetened Westsoy ( 12x32 OZ),Grocery,5,2,2,N,N,Besides good flavor and the same versatility as milk,"Besides good flavor and the same versatility as milk, Westsoy Organic Vanilla Unsweetened is one of the few soy milks that does not have carrageenan as an additive. Shake well, instead. A+",2015-08-21
US,50346013,R3KDH6MBB6A9TQ,B00FT9WTQA,896504118,TIGER NUTS - Supreme Peeled12 oz,Grocery,2,1,1,N,Y,"I had never tried, so wanted to see what ...","I had never tried, so wanted to see what they were.  I, personally, don't care for them !  Won't order any more.",2015-08-19
US,6343329,R3JQU1O9I8JVRR,B00AQFGL3O,888139740,Nutiva Organic Chia Seeds,Grocery,5,0,0,N,Y,Five Stars,I use this in alot of my recipes kove the priduct,2015-08-19
US,12927142,R2X6ZG002GJSGX,B001VNKWO4,666760402,"Frontier Co-op Organic Yellow Mustard Seed, Whole, 1 Pound Bulk Bag (Pack of 2)",Grocery,4,0,0,N,Y,We haven't successfully made good mustard yet,"We haven't successfully made good mustard yet.  Fortunately we have lots of mustard seed to play with.  The proof will be in the pudding, or in this case, the mustard.",2015-08-23
US,36308374,RNCVJFZXY5FH3,B00I9DABVI,591000845,Sincerely Nuts Sunflower Seeds Raw (No Shell),Grocery,5,0,0,N,Y,Five Stars,Very good product and price is right,2015-08-30
US,29489312,R1BB06C1FH9A56,B000BKEUDM,4769482,Big Train Mocha 3.5 lb bulk,Grocery,5,2,2,N,Y,Five Stars,As promised and a day ahead of scheduled delivery.  What more could you ask.,2015-08-20
US,169759,R1CSTLJCZ00EUE,B0018OM3EI,573731237,Fresh Mangosteen,Grocery,5,0,0,N,N,Recommend,"Very delicious fruit, it is said that the nutritional value is very high. Recommend",2015-08-29
US,5702080,R3OQKW70H1TO2D,B0103TQ5RE,999877020,2 Boxes Surprise Chocolate JOY for GIRL Total 6,Grocery,1,4,26,N,Y,Suck,Suck suck suck. You are getting one star not bc of the product but my grand daughter enjoyed getting her first mail. But these are awful and will never never spend another dime bc they aren't worth a nickle.,2015-08-25
US,25920538,R22ZKUCSF3NNXT,B00FKZ5TL0,41847497,"5 Pounds - NON GMO Erythritol, USA made, Gluten Free, 100% Natural, KOSHER certified",Grocery,5,0,0,N,Y,Five Stars,Great for cooking!!!! Great for juices also!!,2015-08-24
US,14085629,R3SQC9FTEBOALM,B00L3OBU9W,170057674,Skinnygirl Liquid Water Enhancer Pineapple Coconut 1.62oz (Pack of 12),Grocery,5,0,0,N,Y,Best flavor enhancer out I've tried and uses a natural ...,Best flavor enhancer out I've tried and uses a natural sweetener instead of artificial.  I thought I was out of luck when Walmart discontinued but found them (for more $$) on Amazon.  Whew.,2015-08-25
US,42771581,R1I5B4ST4SBT6Q,B000MXX04S,39750883,PG Tips (240 Tea Bags),Grocery,5,0,0,N,Y,All set for the next YEAR!,Such a great deal and this box lasts FOR-E-VER.,2015-08-25
US,34192270,R1JDVT4E8BGZC5,B00C584ALK,233975251,"Bai Cocofusions, Antioxidant Infused Drinks",Grocery,5,0,0,N,Y,Five Stars,These are addictive and work with a healthier lifestyle.,2015-08-23
US,27030275,R2CXVQB7VMXU63,B004JQTAPM,571898788,"Puroast Low Acid Coffee Organic House Blend Drip Grind, 2.5 lb.",Grocery,4,1,1,N,Y,Four Stars,"It's okay, not very much flavor.",2015-08-29
US,10782777,RZ5KXWZRZQWFB,B001444G5Q,330451193,"Hershey's All Chocolate Pieces, 150 Pcs, 90 Ounce Bag",Grocery,3,1,1,N,Y,I love the assortment,"I love the assortment. I bought this item a few months ago, so thought I would order again. Second time I received the bag, all the chocolate was completely melted, we are located in Texas and it is August but still a little disappointed. Will probably order these again but only when temps are cooler.",2015-08-20
US,52991307,R3FJCM7E74DJVS,B004XTTDMA,769688713,"Hawaiian Host, Premium Dark Chocolate - WHOLE MACADAMIA NUTS, (2 PACK - 7 ounces each box)",Grocery,5,0,0,N,Y,Decadent Delacacies,"As an anniversary gift to loved ones, the whole nuts with dark chocolate were spectacular.  The boxes arrived promptly and received rave reviews by the celebrants.  These mac nuts were hidden on a high shelf, away from the rest of the family!!!!",2015-08-25
US,19943059,R174TJHQJCNWU6,B004VJRENC,517274291,Five 15 Piece (Pack of 10),Grocery,5,0,0,N,Y,Five Stars,pretty sweet deal considering the retail prices at gas stations,2015-08-26
US,25888020,R26IBTQN10TZZ6,B0118YGKWS,220958389,Loma Linda Big Franks (20 oz.) (Pack of 12),Grocery,5,0,0,N,Y,Love 'em!,I am thrilled to see Amazon is carrying these! Other options through Amazon.com were prohibitively expensive and I can no longer buy them locally for a good price. They're so good!,2015-08-27
US,41137196,R2RX30DV9UQ0LC,B00CK03S3O,797774451,"Lesley Elizabeth Garden Vegetable, 2.3 Ounce",Grocery,5,0,0,N,Y,Five Stars,I was pleased with the product.,2015-08-31
US,35088169,R22M0N2OZSICN,B001PEZLCM,18443677,Non-GMO Project Verified Hard Red Spring Wheat Berries | 100% Non-Irradiated | Certified Kosher Parve | USA Grown |Identity Preserved (We tell you which field we grew it in),Grocery,5,21,23,N,Y,"Great buy, price and quality!",Bought this for my dogs because we have taken out our lawn (live in California). We've been planting wheatgrass in pots for them before because I'd rather my girls get fresh grass istead of grass with fertilizer and that they have pee'd on. These seeds came up FAST and hardy... Much better than the brand I bought before. Dogs are loving it!!! I love it's non-GMO - wish it was organic but I still give it 5 stars.,2015-08-30
US,37035104,RIS4IG84UIXCY,B00NJB8G7G,565436829,"Simply Gum Mint Natural Chewing Gum - Non GMO, Vegan, 6 Packs (90 Pieces)",Grocery,2,0,0,N,N,Simply gum,Way to firm- makes your jaw hurt and not enough flavor.,2015-08-26
US,144962,R27M3XZRMR31B6,B00NEU5DGE,519883753,Sweet 'N Low Zero Calorie Sweetener,Grocery,5,0,0,N,Y,Love it. Received the item the first week,Love it.  Received the item the first week.  Packets seem fuller than in usual retail packets.  Hurray!  Five stars,2015-08-21
US,34124211,R28XFEK6IGATBB,B00MJA5F3Q,670234174,Kapibarasan Bitten Chocolate Squishy,Grocery,3,0,0,N,Y,I was fairly pleased with the Kapibarasan squeeze you except that it said ...,I was fairly pleased with the Kapibarasan squeeze you except that it said that it would come with the original tag but it didn't so I don't know if that was a mistake or what,2015-08-29
US,34045640,R8IIQUGWXH6MC,B00NYYVWFQ,950383199,"Organic Matcha Green Tea Powder by Enzo Full with Strong Milky Flavour, Easy to Dissolve in Hot Water. Perfect for Latte, Ice cream, waffles and baking. Perfect Coffee Alternative",Grocery,4,0,0,N,Y,Still trying to perfect the concoction,"I've used it for green tea frapps so far and am enjoying it. Still trying to perfect the concoction, but please with this product.",2015-08-29
US,19155453,R2QD8J3Q64QQFR,B00NG96PXS,394150302,Roadhouse Wing Bucket Set,Grocery,1,0,0,N,Y,Low quality plastic bucket and lid.,"I purchased this kit as a gift for my brother. When he unwrapped it, he noticed that the bottom of the bucket was cracked. So I bought him a gift that he can't use now. I am disappointed in the low quality of the plastic bucket and lid.<br /> I have a different brand of wing bucket which I have had for a year or 2 now. The quality of my bucket and lid is much better, however it is no longer made.<br /> I decided to buy my own quality bucket elsewhere, and put my own design on it. My brother will surely be happy with it when I'm done with it.",2015-08-20
US,12593491,R3UBT9OC7KK2D5,B00O3GR6TK,411427441,"Quest Nutrition- Quest Bar Variety Pack: Cravings Peanut Butter Cups, Chocolate Chip Cookie Dough, Double Chocolate Chunk and Chocolate Brownie 36 Protein Bars",Grocery,3,0,0,N,Y,"The bars were great, but I didn't like the Peanut Butter Cups","The bars were great, but I didn't like the Peanut Butter Cups. The Peanut Butter Cups were dry almost powdery, I couldn't eat them.<br />I will order the bars again, but not the Peanut Butter Cups.",2015-08-28
US,47849842,R3R692NDOAMEHB,B00I08JAGE,755797911,The Original Donut Shop Keurig Single-Serve K-Cup Pods,Grocery,5,0,0,N,Y,Five Stars,"Great Coffee, it's not bitter like some other brands of decaf coffee.",2015-08-27
US,10349513,R3MTGR9P9JR8W7,B003VNAPV2,141452752,Miracle Whip,Grocery,5,0,0,N,Y,FAT FREE MAYO,It was wonderful to find the fat free at such a reasonable price,2015-08-30
US,18545884,R1TRLVZS62T298,B009LT26BC,403097585,"Eight O'Clock Coffee Keurig Single-Serve K-Cup Pods, The Original Medium Roast Coffee",Grocery,5,0,0,N,Y,Five Stars,Great Coffee and my order was delivered so fast 😊 Thanks,2015-08-29
US,12308243,R1J0093TFWSWPC,B005C4X2OA,940485531,Lipton Spring Vegetable Soup 22-count,Grocery,5,2,2,N,Y,Long-time favorite Cup-a-Soup.,"Is, and always has been my favorite Lipton Cup-a-Soup. I'm also delighted to find it in 22-count boxes -- in fact, it's the main reason I stopped in today.",2015-08-23
US,27066584,R36HKLXW2H80TU,B000V5PCGQ,746999819,"Clorox Bleach Pen Gel, 2 Ounces",Grocery,5,1,1,N,Y,Amazing bleach pen,"Excellent bleach pen. I've been using this pen for a year now and whenever I have to use something else to get stains off clothing, I immediately see the difference. This this is tough and so far there hasn't been any type of stains that I haven't been able to get rid of. Definitely worth having around.",2015-08-22
US,50194999,R587LHL5FOIPU,B00V54D0OS,965379021,"Swanson Cream Starter Traditional, 26.10 Ounce (Pack of 8)",Grocery,5,0,0,N,N,You will be a Hero..I promise,"The Best !! First of all..use a Dutch oven on top of your stove top.<br />Use a little more bacon (and fat) than the recipe calls for.<br />Fry the onions by themselves to reduce the bite (white onion(s)).<br />Add the bacon (that has been set aside) half way through the cooking process,  or it will be too salty (if added to soon).<br />Add the cheese half way through the cooking process also.<br />A little note..when adding the cheese..add a ton of it and just think..&#34; I am making &#34;cheese&#34; &#34;potato&#34; soup.<br />I add a little 2% milk.. a half to a full cup, just to stretch it out (so I have left overs).<br />It will still be very &#34;thick&#34;<br />I make a double batch...BEST EVER !!",2015-08-21
US,31388220,R1L4S0NUGHOTQ0,B00V9FJZMY,22560023,Matcha Green Tea Powder,Grocery,4,0,0,N,Y,good tea. Kinda expensive for a small amount,good tea. Kinda expensive for a small amount.  You should buy the tea wisk for it though.  I use a spoon and it doesn't blend as well as if you had the wisk for it.,2015-08-20
